Chrom	Start	End	Strand	GSC Myeloid Panel	ICC/WHO?	UHN Myeloid Panel	Illumina TrueSight Myeloid Panel	LOD list	Gene name	Description	Tier	FDA-approved drugs (OncoKB)	WHO classification	ICC classification	Most common fusion	Partner genes/ variants	Typical clinical and BM manifestations	Targeted therapy	Disease	Prognosis	Additional cytogenetics
chr19	18442662	18522070	minus	No	No	Yes	No	No	ELL	FUS	1A if fused to KMT2A, otherwise 3A	None	NA	NA	NA	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(11;19)(q23.3;p13.1) with a variant allele frequency (VAF) of [%]. The t(11;19)(q23.3;p13.1) is a recurrent abnormality resulting in a ELL::KMT2A fusion. In the context of AML it is considered to have a adverse favorable prognosis according to the ELN 2022 (PMID: 35797463).	NA
chr22	41092591	41180077	plus	No	No	Yes	No	No	EP300	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19	11377206	11384314	minus	No	No	Yes	No	No	EPOR	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr9	95875691	96041092	plus	Expanded	No	No	No	No	ERCC6L2	Exons, 5,, 9,, 13,, 15	2	None	NA	NA	NA	NA	NA	NA	NA	Biallelic germ line ERCC6L2 variants strongly predispose to bone marrow failure (BMF) and myeloid malignancies, characterized by somatic TP53-mutated clones and erythroid predominance. The prognosis of MDS/AML in patients with ERCC6L2 germline variants is poor, especially when progression to acute erythroid leukemia is noted (PMID: 37091189).	NA
chr21	38380035	38498477	minus	No	No	Yes	No	No	ERG	FUS	1A if fused to FUS, otherwise 3A	None	NA	NA	NA	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(16;21)(p11.2;q22.2) with a variant allele frequency (VAF) of [%]. The t(16;21)(p11.2;q22.2) is a rare, recurrent abnormality resulting in a FUS::ERG fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chr12	22625170	22690665	plus	No	No	Yes	No	No	ETNK1	GOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr21	38805183	38824954	plus	Expanded	No	No	No	No	ETS2	Exon, 2	2	None	NA	NA	NA	NA	NA	NA	NA	High ETS2 expression predicts poor prognosis in acute myeloid leukemia patients undergoing allogeneic hematopoietic stem cell transplantation (PMID: 30022221).	NA
chr12	11649674	11895377	plus	Core	Yes	Yes	No	Yes	ETV6	LOF	1A if fused to ABL1, MECOM, otherwise 3A	None	Subtypes of myeloid neoplasms associated with germline predisposition; Myeloid neoplasms with germline predisposition and pre-existing platelet disorder, (WHO, PMID: 35732831).	Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions; Myeloid/lymphoid neoplasm with ETV6::ABL1, (ICC, PMID: 35767897).	MECOM, MNX1	GSX2, GSX1	NA	NA	NA	Optical Genome Mapping detected a translocation t(7;12)(q36.3;p13.2) or t(3;12)(q26.2;p13.2) or t(4;12)(q12;p13.2) or t(12;13)(p13.2;q12.2) with a variant allele frequency (VAF) of [%]. This is a rare, recurrent abnormality resulting in a ETV6::MNX1 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms or the ETV6::MECOM fusion. In the context of AML, the ETV6::MNX1 fusion is associated with an unclear, ETV6::MECOM fusion associated with adverse risk category (ELN, PMID: 35797463). The t(4;12)(q12;p13.2) and t(12;13)(p13.2;q12.2) are rare, recurrent abnormality resulting in a GSX2::ETV6 and ETV6::GSX1 fusions with unclear prognosis.	NA
chr22	29268267	29300521	plus	No	No	Yes	No	No	EWSR1	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7	148807257	148884321	minus	Core	Yes	Yes	Yes	Yes	EZH2	LOF	1A	Tazemetostat	Defining somatic mutations in acute myeloid leukaemia, myelodysplasia-related; Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; Defined by mutations in ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, or ZRSR2 (ICC, PMID: 35767897)., (ICC, PMID: 35767897).	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Mutated ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, and/or ZRSR2 associated with adverse risk category (ELN, PMID: 35797463)	NA
chr4	152321257	152535033	minus	No	No	Yes	Yes	No	FBXW7	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	218981086	218985184	minus	No	No	Yes	No	No	FEV	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8	38400215	38468834	minus	Expanded	Yes	Yes	No	No	FGFR1	Gene rearrangement/fusion	1A	Pemigatinib	NA	Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions; Myeloid/lymphoid neoplasm with FGFR1 rearrangement, (ICC, PMID: 35767897).	t(8;13)(p11.2;q12.1)/ ZMYM2::FGFR1	15 other partners including BCR (ZMYM2, TPR, RANBP2, LRRFIP1, SQSTM1, CUX1, TRIM24, FGFR1, HOOK3, CNTRL, FGFR1OP2, CPSF6, MYO18A, ERVK3-1, BCR)	Common: Extramedullary T-ALL/ LL with BM MPN-like or blast phase of MPN;	High rate of response to FGFR inhibitor such as pemigatinib, especially for cases in chronic phase	NA	Optical Genome Mapping detected a ____ translocation resulting in a ____:::FGFR1 fusion gene. The _____ fusion is a recurrent rearrangement seen in 8p11 Myeloproliferative Syndrome and may respond to targeted FGFR inhibitor(s). (PMID: 35767897).	NA
chr4	53377640	53460862	plus	No	No	Yes	No	No	FIP1L1	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr13	28003274	28100592	minus	Core	Yes	Yes	Yes	No	FLT3	Gene rearrangement/GOF	1A	Midostaurin + High Dose Chemotherapy	NA	Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions; Myeloid/lymphoid neoplasm with FLT3 rearrangement (ICC, PMID: 35767897)., (ICC, PMID: 35767897).	t(12;13)(p13.2;q12.2)/ ETV6::FLT3	ZMYM2, TRIP11, SPTBN1, GOLGB1, CCDC88C, MYO18A, BCR, ETV6	T-ALL/LL or myeloid sarcoma with CEL-like or MDS/MPN BM features	Various responses to specific FLT3 inhibitors	NA	Optical Genome Mapping detected a translocation of the ETV6 gene (12p13.2) with the FLT3 gene (13q12.2) with a variant allele frequency of ___. The FLT3:: fusion is a rare, but recurrent rearrangement seen in myeloid and lymphoid neoplasia with eosinophilia and may respond to specific FLT3 inhibitors (PMID: 35767897).	NA
chr16	31180138	31191605	plus	No	No	Yes	No	No	FUS	FUS	1A if fused to ERG, otherwise 3A	None	NA	NA	NA	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(16;21)(p11.2;q22.2) with a variant allele frequency (VAF) of [%]. The t(16;21)(p11.2;q22.2) is a rare, recurrent abnormality resulting in a FUS::ERG fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chrX	48786589	48794311	plus	Expanded	No	Yes	Yes	No	GATA1	FUS	3A	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	128479427	128493201	minus	Core	Yes	Yes	Yes	Yes	GATA2	GOF/Fusion	1A if fused to MECOM, otherwise 3A	None	NA	Classification of AML with percentage of blasts required for diagnosis; AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2)/GATA2; MECOM(EVI1) = 10%. Hematologic neoplasms with germline predisposition associated with a constitutional disorder affecting multiple organ systems; Myeloid neoplasms with germline GATA2 mutation. Subtypes of myeloid neoplasms associated with germline predisposition; Myeloid neoplasms with germline predisposition and potential organ dysfunction., (ICC, PMID: 35767897).	NA	NA	NA	NA	AML	Optical Genome Mapping detected a t(3;3)(q21.3;q26.2). This is a recurrent abnormality resulting in a GATA2::MECOM(EVI1) fusion associated with adverse risk prognosis in the context of AML (PMID: 35797463).	NA
chr12	109929803	109996368	minus	No	No	Yes	No	No	GIT2	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr16	4316066	4339595	plus	No	No	Yes	No	No	GLIS2	FUS	1A if fused to CBFA2T3, otherwise 3A	None	NA	NA	NA	NA	NA	NA	NA	Optical Genome Mapping detected a translocation inv(16)(p13.3q24.3) with a variant allele frequency (VAF) of [%]. The inv(16)(p13.3q24.3) is a rare, recurrent abnormality resulting in a CBFA2T3::GLIS2 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chr20	58891420	58911192	plus	No	No	Yes	Yes	No	GNAS	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1785285	1891087	minus	No	No	Yes	No	No	GNB1	GOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	37243270	37366879	plus	No	No	Yes	No	No	GOLGA4	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	96363525	96387288	plus	No	No	Yes	No	No	GSKIP	DUPminush	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7	75533297	75738941	minus	No	No	Yes	No	No	HIP1	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17	55264960	55325187	plus	No	Yes	Yes	No	No	HLF	Mutated gene	1A	None	NA	Classification of B-ALL; B-ALL with HLF rearrangement, (ICC, PMID: 35767897).	TCF3; TCF4	NA	NA	NA	NA	Very poor	NA
chr11	532242	535576	minus	Core	No	No	Yes	No	HRAS	except, Exon, 5	3A	None	NA	NA	NA	NA	NA	NA	NA	Mutations in HRAS are extremely rare in myeloid leukemia (PMID: 19075190)	NA
chr2	208236228	208255071	minus	Core	No	Yes	Yes	No	IDH1	GOF	1 or 2 depending on disease context	Ivosidenib	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	IDH1 mutations are identified in 6-9% of AML cases, <5% of MDS and MPN cases. For AML, treatment with the IDH1 inhibitor ivosidenib may be of benefit (NCCN Guidelines - AML 2023). For MDS, there is emerging data demonstrating the effectiveness of ivosidenib for MDS (Medeiros (2017) PMID:27721426; NCCN Guidelines - MDS 2022). For MPN cases, IDH1 mutations in PV and ET are associated with inferior overall survival and in PMF with inferior leukemia-free survival and leukemic transformation (NCCN Guidelines - MPN 2022).	NA
